table,row_count
bank_accounts,2
bank_reconciliations,0
bank_statements,24
bank_transactions,3290
chart_of_accounts,60
communications,1061
companies,1
contacts,268
credit_notes,0
customers,163
departments,4
depreciation_entries,212
employees,14
employment_history,31
fixed_assets,10
goods_receipts,910
inventory_movements,12327
journal_entries,6895
journal_entry_lines,17362
leave_balances,42
leave_requests,52
pay_run_lines,620
pay_runs,52
payment_allocations,2333
price_history,25
products,25
project_expenses,14
projects,10
purchase_order_lines,935
purchase_orders,935
sales_invoice_lines,11417
sales_invoices,2506
sales_order_lines,11417
sales_orders,2506
super_contributions,97
supplier_invoices,910
supplier_payments,881
suppliers,10
tax_return_lines,56
tax_returns,8
time_entries,297
trial_balances,380
_total,78162
